record,record_len,record_days,missing_frac,condition,horizon,seed,n_gaps_requested,n_gaps_placed,gap_len,actual_missing_pct,skill_honest,skill_naive,bias,n_test
HKZA,7166,49.8,0.1,MEDIUM,1,13,39,39,18,9.8,-31.756,-8.639,23.117,1091
HKZA,7166,49.8,0.1,MEDIUM,1,14,39,39,18,9.8,-12.59,-6.444,6.146,1093
HKZA,7166,49.8,0.1,MEDIUM,3,0,39,39,18,9.8,-12.98,-10.692,2.288,1112
HKZA,7166,49.8,0.1,MEDIUM,3,1,39,39,18,9.8,-11.088,-7.035,4.054,1087
HKZA,7166,49.8,0.1,MEDIUM,3,2,39,39,18,9.8,-13.989,-9.029,4.961,1025
HKZA,7166,49.8,0.1,MEDIUM,3,3,39,39,18,9.8,-9.128,-8.211,0.917,1049
HKZA,7166,49.8,0.1,MEDIUM,3,4,39,39,18,9.8,-12.572,-10.855,1.717,1064
HKZA,7166,49.8,0.1,MEDIUM,3,5,39,39,18,9.8,-8.264,-8.079,0.185,1113
HKZA,7166,49.8,0.1,MEDIUM,3,6,39,39,18,9.8,-16.74,-10.122,6.618,1103
HKZA,7166,49.8,0.1,MEDIUM,3,7,39,39,18,9.8,-10.66,-8.427,2.233,1100
HKZA,7166,49.8,0.1,MEDIUM,3,8,39,39,18,9.8,-10.169,-8.429,1.739,1095
HKZA,7166,49.8,0.1,MEDIUM,3,9,39,39,18,9.8,-32.187,-9.218,22.969,1107
HKZA,7166,49.8,0.1,MEDIUM,3,10,39,39,18,9.8,-39.942,-13.624,26.318,1148
HKZA,7166,49.8,0.1,MEDIUM,3,11,39,39,18,9.8,-6.568,-10.508,-3.94,1048
HKZA,7166,49.8,0.1,MEDIUM,3,12,39,39,18,9.8,-15.162,-11.601,3.561,1046
HKZA,7166,49.8,0.1,MEDIUM,3,13,39,39,18,9.8,-21.642,-9.295,12.347,1075
HKZA,7166,49.8,0.1,MEDIUM,3,14,39,39,18,9.8,-13.003,-8.1,4.904,1078
HKZA,7166,49.8,0.1,FEW-LONG,1,0,4,4,144,8.04,-6.258,-7.567,-1.309,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,1,4,4,144,8.04,-7.212,-11.151,-3.939,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,2,4,4,144,8.04,-6.407,-7.696,-1.289,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,3,4,4,144,8.04,-6.968,-8.076,-1.107,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,4,4,4,144,8.04,-11.658,-6.806,4.852,1559
