rmse_pers_honest,rmse_model_honest,rmse_pers_naive,rmse_model_naive,ratio_honest,ratio_naive,skill_honest,skill_naive,excess_honest,excess_naive,n_test_honest,n_test_naive,n_train_honest,test_target_mean,test_target_std,test_target_sddiff,test_start,test_end,pred_std,pred_min,pred_max,rmse_bias,bias,record,record_len,missing_frac,condition,horizon,seed,gap_len,n_gaps_requested,n_gaps_placed
0.5227686983656828,0.5829344525299782,0.5268348424723158,0.5693224220604512,1.1150905827996012,1.080646867220761,-11.509058279960115,-8.064686722076097,0.06016575416429537,0.04248757958813543,884,1046,2689,7.562519230769231,3.516472417201988,0.5478518709283269,2025-09-21 22:50:00,2025-09-29 04:20:00,3.3988542556762695,1.5166130065917969,14.305274963378906,-0.017678174576159944,3.4443715578840184,HKWB,4459,0.05,MEDIUM,1,11,18,12,12
0.5504354986779406,0.5965624942822774,0.534845608608504,1.1325801966655011,1.0838009098525196,2.117583426761435,-8.380090985251964,-111.75834267614349,0.04612699560433675,0.5977345880569971,869,1046,2644,8.562174913693902,3.519093469712997,0.5840567020729486,2025-09-22 01:20:00,2025-09-29 04:20:00,3.4268345832824707,1.209183692932129,13.99901008605957,0.5516075924526603,-103.37825169089152,HKWB,4459,0.05,MEDIUM,1,12,18,12,12
0.6470222676344415,0.7205544335029975,0.5821371304283269,0.6360744169696052,1.1136470405221057,1.0926539190200635,-11.364704052210573,-9.265391902006348,0.07353216586855604,0.05393728654127827,891,1046,2709,8.760934904601571,4.824741494354395,0.6917367772900865,2025-09-19 23:00:00,2025-09-29 04:20:00,4.707027435302734,1.426200270652771,21.33901596069336,-0.01959487932727777,2.0993121502042253,HKWB,4459,0.05,MEDIUM,1,13,18,12,12
0.465557491650641,0.5816434410858186,0.5267912363471516,0.5938122687285191,1.2493482577706851,1.1272250329107623,-24.934825777068514,-12.722503291076226,0.11608594943517758,0.06702103238136747,874,1046,2659,7.923945080091533,3.7439386136155544,0.4674303768369408,2025-09-22 00:30:00,2025-09-29 04:20:00,3.5709543228149414,1.8035627603530884,14.349565505981445,-0.04906491705381011,12.212322485992289,HKWB,4459,0.05,MEDIUM,1,14,18,12,12
0.8763440143953451,1.0316528732140615,0.9270250658570527,1.0647027807612799,1.1772236202536004,1.1485156334763629,-17.722362025360038,-14.851563347636286,0.15530885881871637,0.1376777149042272,849,1045,2590,7.507528857479388,3.4838959717509246,0.5667247717248383,2025-09-21 14:10:00,2025-09-29 04:00:00,3.085930585861206,2.3626887798309326,13.294400215148926,-0.017631143914489167,2.8707986777237515,HKWB,4459,0.05,MEDIUM,3,0,18,12,12
0.7484522746121999,0.9146976324244447,0.9252100327950886,1.0277579936906331,1.2221188490587225,1.1108374933913587,-22.211884905872246,-11.083749339135874,0.1662453578122448,0.10254796089554452,841,1045,2568,8.219570749108204,3.794019065984829,0.5156193667870668,2025-09-21 15:30:00,2025-09-29 04:00:00,3.4473235607147217,2.152858018875122,14.447702407836914,-0.06369739691670029,11.128135566736372,HKWB,4459,0.05,MEDIUM,3,1,18,12,12
0.7120238909805022,0.7919715533973883,0.7888992361415297,0.8656579919961276,1.1122822751169108,1.0972985551741963,-11.228227511691081,-9.729855517419628,0.07994766241688611,0.0767587558545979,844,1045,2576,8.40357345971564,3.712548828160474,0.4850213444348439,2025-09-21 15:00:00,2025-09-29 04:00:00,3.482433319091797,1.5620448589324951,14.065492630004883,-0.0031889065622882073,1.4983719942714533,HKWB,4459,0.05,MEDIUM,3,2,18,12,12
0.8977906046916162,1.1457469015866568,0.9126990317120087,1.2641320392356372,1.2761849985946463,1.3850480775293723,-27.618499859464627,-38.50480775293723,0.24795629689504062,0.3514330075236285,863,1045,2632,7.702793742757822,3.710497912586928,0.5483358867250724,2025-09-21 18:20:00,2025-09-29 04:00:00,3.287240982055664,2.770761728286743,14.540634155273438,0.10347671062858788,-10.886307893472605,HKWB,4459,0.05,MEDIUM,3,3,18,12,12
0.9749967499346741,1.1271763017683725,0.9427470077248523,1.0821321758653608,1.15608211190847,1.147850024448117,-15.60821119084701,-14.78500244481169,0.15217955183369836,0.1393851681405085,856,1045,2611,8.491869158878504,3.3669301798053874,0.6769037770922414,2025-09-21 08:50:00,2025-09-29 04:00:00,3.1224160194396973,2.4740025997161865,14.42257022857666,-0.012794383693189859,0.8232087460353199,HKWB,4459,0.05,MEDIUM,3,4,18,12,12
0.8861838844445211,0.9954686302720303,0.8867566584423633,1.0592681687117438,1.1233206197334666,1.1945421087363544,-12.332061973346665,-19.454210873635436,0.10928474582750913,0.1725115102693805,854,1045,2605,8.243581967213116,3.4912424963528275,0.5262749892887827,2025-09-22 02:50:00,2025-09-29 04:00:00,3.134744882583618,2.1828062534332275,14.479156494140625,0.06322676444187136,-7.122148900288771,HKWB,4459,0.05,MEDIUM,3,5,18,12,12
0.9255849746782692,1.0311937577904213,0.8934463144176104,1.007658964603959,1.1140995003174738,1.1278338142351596,-11.409950031747385,-12.78338142351596,0.10560878311215216,0.11421265018634874,871,1045,2658,8.541769230769232,3.550966121445664,0.5952203953523995,2025-09-22 00:00:00,2025-09-29 04:00:00,3.218764066696167,1.8983665704727173,14.315176010131836,0.00860386707419658,-1.373431391768575,HKWB,4459,0.05,MEDIUM,3,6,18,12,12
0.8726181583915211,1.1194185290997505,0.9422755171600473,1.1217744419300746,1.2828274524600214,1.1904951593256126,-28.28274524600214,-19.049515932561256,0.24680037070822936,0.17949892477002727,846,1045,2583,8.744891252955082,4.846159229144879,0.5913406100473214,2025-09-20 11:40:00,2025-09-29 04:00:00,4.514503479003906,2.2814536094665527,21.732738494873047,-0.06730144593820209,9.233229313440884,HKWB,4459,0.05,MEDIUM,3,7,18,12,12
0.953264648476576,1.3783140033789698,0.9242607075400275,1.0914334795865108,1.4458880916035965,1.1808718802851883,-44.58880916035965,-18.08718802851883,0.4250493549023938,0.1671727720464833,853,1045,2603,8.169058616647128,3.56800963149548,0.6082976982275059,2025-09-21 13:30:00,2025-09-29 04:00:00,3.0132737159729004,3.651031017303467,14.726762771606445,-0.25787658285591053,26.50162113184082,HKWB,4459,0.05,MEDIUM,3,8,18,12,12
0.9962841137417165,1.1709407674420298,0.9325613460329741,1.0896164122129082,1.1753080785804766,1.168412584167284,-17.53080785804766,-16.84125841672841,0.17465665370031325,0.15705506617993403,850,1045,2594,8.659609411764706,4.615701468367283,0.6186663067916893,2025-09-20 16:50:00,2025-09-29 04:00:00,4.301941871643066,2.2797276973724365,22.217302322387695,-0.017601587520379214,0.6895494413192473,HKWB,4459,0.05,MEDIUM,3,9,18,12,12
0.7262232781390188,0.9995721721625264,0.9288154214273898,1.0270017357993995,1.376397868605888,1.105711330913432,-37.6397868605888,-10.57113309134321,0.2733488940235076,0.09818631437200964,865,1045,2639,8.727492485549133,4.343103479779258,0.47642756874587194,2025-09-21 00:40:00,2025-09-29 04:00:00,4.104475498199463,2.3556089401245117,21.750558853149414,-0.17516257965149795,27.06865376924559,HKWB,4459,0.05,MEDIUM,3,10,18,12,12
0.9006920549661429,1.034309789403963,0.8752184848209326,0.9892754118008548,1.1483500755903113,1.1303182336274102,-14.835007559031133,-13.031823362741024,0.1336177344378201,0.1140569269799222,877,1045,2676,7.543600912200684,3.5237597464425847,0.5503099339408727,2025-09-21 23:00:00,2025-09-29 04:00:00,3.2072930335998535,2.2747390270233154,14.800683975219727,-0.0195608074578979,1.8031841962901094,HKWB,4459,0.05,MEDIUM,3,11,18,12,12
0.9281547070821469,1.0566302708249835,0.8878172658873309,1.4699260417997224,1.1384204193142833,1.6556628241855622,-13.842041931428328,-65.56628241855623,0.12847556374283664,0.5821087759123915,861,1045,2628,8.569653890824622,3.5250314453765785,0.5759999826952255,2025-09-22 01:40:00,2025-09-29 04:00:00,3.246528148651123,2.0968666076660156,14.581010818481445,0.4536332121695549,-51.7242404871279,HKWB,4459,0.05,MEDIUM,3,12,18,12,12
1.0443907580163012,1.2868646085695403,0.9075958230349184,1.0948144588275308,1.2321677482226958,1.206279745940842,-23.21677482226958,-20.627974594084208,0.2424738505532391,0.18721863579261244,884,1045,2696,8.761320135746606,4.838988733402129,0.6909743647598592,2025-09-19 22:30:00,2025-09-29 04:00:00,4.61177396774292,2.3489439487457275,22.009675979614258,-0.05525521476062667,2.5888002281853737,HKWB,4459,0.05,MEDIUM,3,13,18,12,12
0.708821313152503,0.9759927123072417,0.8647276790132687,0.9901927916338402,1.37692348437787,1.1450920511342233,-37.69234843778699,-14.509205113422329,0.26717139915473875,0.12546511262057147,867,1045,2644,7.91236216839677,3.756522059895444,0.46574758059072924,2025-09-22 00:40:00,2025-09-29 04:00:00,3.4179177284240723,2.4321324825286865,14.896459579467773,-0.14170628653416728,23.18314332436466,HKWB,4459,0.05,MEDIUM,3,14,18,12,12
0.5391547796763713,0.6209092902324701,0.5287870163370282,0.6269794950171399,1.1516345836814657,1.1856938155560304,-15.163458368146564,-18.569381555603037,0.08175451055609884,0.09819247868011172,1036,1064,3144,9.063935328185329,4.556744184862793,0.5385451663979116,2025-09-20 13:40:00,2025-09-29 04:20:00,4.392391681671143,1.4722471237182617,21.32760238647461,0.01643796812401288,-3.405923187456473,HKWB,4459,0.05,FEW-LONG,1,0,144,1,1
0.530742125394201,0.5690629363774686,0.5297152643432087,0.5744416332146032,1.0722023166237378,1.0844347367011415,-7.220231662373777,-8.443473670114155,0.03832081098326767,0.04472636887139447,1036,1064,3144,8.097284749034749,3.5146331175204146,0.5308199184284335,2025-09-21 23:50:00,2025-09-29 04:20:00,3.4009859561920166,1.5069888830184937,14.306429862976074,0.0064055578881268005,-1.223242007740378,HKWB,4459,0.05,FEW-LONG,1,1,144,1,1
0.5259336733510023,0.6122196744770109,0.5449221628212919,0.6416687681000702,1.1640625149103587,1.1775420635818523,-16.406251491035874,-17.754206358185233,0.0862860011260086,0.09674660527877832,1036,1064,3144,9.03135135135135,4.550402275282892,0.525442442155818,2025-09-20 13:40:00,2025-09-29 04:20:00,4.387035369873047,1.4722471237182617,21.32760238647461,0.010460604152769726,-1.3479548671493582,HKWB,4459,0.05,FEW-LONG,1,2,144,1,1
0.5906365243201642,0.6569111161020111,0.5952624287006163,0.6779361983037082,1.1122087596227315,1.1388862552329373,-11.220875962273148,-13.88862552329373,0.06627459178184691,0.08267376960309192,1036,1064,3144,8.820158301158303,4.537182929989897,0.5931625349505073,2025-09-20 13:40:00,2025-09-29 04:20:00,4.371731758117676,1.4722471237182617,21.32760238647461,0.016399177821245003,-2.6677495610205817,HKWB,4459,0.05,FEW-LONG,1,3,144,1,1
0.530742125394201,0.5868942553440634,0.5297152643432087,0.5861679886009176,1.1057992709890065,1.106571828409937,-10.579927098900654,-10.657182840993705,0.056152129949862406,0.056452724257708864,1036,1064,3144,8.097284749034749,3.5146331175204146,0.5308199184284335,2025-09-21 23:50:00,2025-09-29 04:20:00,3.3973097801208496,1.5805448293685913,14.186484336853027,0.0003005943078464579,-0.07725574209305108,HKWB,4459,0.05,FEW-LONG,1,4,144,1,1
0.530742125394201,0.5717678815476195,0.5297152643432087,0.5748157818223586,1.0772988504030037,1.0851410569319158,-7.729885040300366,-8.514105693191576,0.041025756153418524,0.04510051747914989,1036,1064,3144,8.097284749034749,3.5146331175204146,0.5308199184284335,2025-09-21 23:50:00,2025-09-29 04:20:00,3.4143013954162598,1.4468348026275635,14.402924537658691,0.004074761325731369,-0.7842206528912099,HKWB,4459,0.05,FEW-LONG,1,5,144,1,1
