record,horizon,d,n,rmse_pers,rmse_model,rmse_pers_far,rmse_model_far,pers_inflation,model_inflation,frac_displaced,median_gap_before
HKN,6,8,118,2.0417465230549015,1.9585191492777052,1.6481690486949874,1.6177670201167438,1.2387967876666213,1.210631150792264,0.16101694915254236,1.0
HKN,6,9,116,2.076160101543563,2.017898419133507,1.6481690486949874,1.6177670201167438,1.259676671629926,1.2473356138684843,0.14655172413793102,1.0
HKN,6,10,113,1.9746679097970627,1.943904209813357,1.6481690486949874,1.6177670201167438,1.1980979204533635,1.2015971308854336,0.1415929203539823,1.0
HKN,6,11,106,1.797336903142042,1.8330402355528466,1.6481690486949874,1.6177670201167438,1.0905051909360663,1.1330681196731083,0.10377358490566038,1.0
HKN,6,12,103,1.752711294964218,1.8048946309774063,1.6481690486949874,1.6177670201167438,1.0634293225879996,1.1156703088477837,0.07766990291262135,1.0
HKWA,1,1,43,0.9800215825815173,1.0054359690187922,0.6656410322248062,0.6647881727358189,1.4722974323051283,1.512415548671838,0.13953488372093023,1.0
HKWA,1,2,37,0.6608429506360837,0.6584305837025572,0.6656410322248062,0.6647881727358189,0.9927917881313811,0.9904366694625476,0.16216216216216217,1.0
HKWA,1,3,31,0.7702906866472451,0.7264371912902173,0.6656410322248062,0.6647881727358189,1.1572163513908735,1.0927348305561646,0.06451612903225806,1.0
HKWA,1,4,29,0.8986919997111514,0.906380745012984,0.6656410322248062,0.6647881727358189,1.3501150863663063,1.3634128616983863,0.10344827586206896,1.0
HKWA,1,5,26,0.6050594376397437,0.6119506358755396,0.6656410322248062,0.6647881727358189,0.9089875899287976,0.9205197399303363,0.0,1.0
HKWA,1,6,26,0.9345670737751332,0.9039987288148473,0.6656410322248062,0.6647881727358189,1.4040106131250378,1.359829741095723,0.038461538461538464,1.0
HKWA,1,7,25,0.8415370936566015,0.8779783164090746,0.6656410322248062,0.6647881727358189,1.264250628967221,1.3206888335511584,0.04,1.0
HKWA,1,8,24,0.601849960538339,0.5870182372357257,0.6656410322248062,0.6647881727358189,0.9041659564266117,0.8830154646403459,0.0,1.0
HKWA,1,9,24,0.5147629308720664,0.5368574107082494,0.6656410322248062,0.6647881727358189,0.7733341334916626,0.8075616154524938,0.041666666666666664,1.0
HKWA,1,10,23,0.8822957701853481,0.8286259040432817,0.6656410322248062,0.6647881727358189,1.3254828465673243,1.2464510321133082,0.08695652173913043,1.0
HKWA,1,11,21,0.7212716613896664,0.6660573169783954,0.6656410322248062,0.6647881727358189,1.0835745191051744,1.001909095700896,0.0,1.0
HKWA,1,12,21,0.6009536468932406,0.6216199412872406,0.6656410322248062,0.6647881727358189,0.9028194143690967,0.9350646819257824,0.0,1.0
HKWA,3,1,43,1.1374824200021527,1.1883368697722405,1.077588714789428,1.0697356690946858,1.0555812290818474,1.110869632661615,0.32558139534883723,1.0
HKWA,3,2,37,1.1257158683327764,1.112379388506826,1.077588714789428,1.0697356690946858,1.0446618945455017,1.0398637912562358,0.2972972972972973,1.0
HKWA,3,3,31,1.0486451473979606,1.0020282659659276,1.077588714789428,1.0697356690946858,0.9731404319716512,0.9367064172160785,0.16129032258064516,1.0
HKWA,3,4,29,1.1195710077432832,1.1170642446220853,1.077588714789428,1.0697356690946858,1.0389594771898283,1.044243243349503,0.13793103448275862,1.0
HKWA,3,5,26,1.3645583816469988,1.3287703405711193,1.077588714789428,1.0697356690946858,1.2663072310604586,1.242148297902092,0.07692307692307693,1.0
HKWA,3,6,26,1.4173415391011224,1.4156823012380813,1.077588714789428,1.0697356690946858,1.315289887179345,1.3233945002845133,0.07692307692307693,1.0
HKWA,3,7,25,1.1539888734298955,1.2389547676248052,1.077588714789428,1.0697356690946858,1.0708991822129437,1.1581877686413216,0.08,1.0
HKWA,3,8,24,1.4171723754246222,1.3116785984078185,1.077588714789428,1.0697356690946858,1.3151329036529045,1.2261707600326055,0.125,1.0
HKWA,3,9,24,1.130228848508124,1.0759785535240414,1.077588714789428,1.0697356690946858,1.0488499304013057,1.0058359131229484,0.125,1.0
