record,horizon,d,n,rmse_pers,rmse_model,rmse_pers_far,rmse_model_far,pers_inflation,model_inflation,frac_displaced,median_gap_before
D3_ONSHORE,6,1,997,1.957529275027008,1.6608837410795525,1.3565838967805113,1.2663740411790183,1.44298430762202,1.3115269952416573,0.47141424272818455,4.0
D3_ONSHORE,6,2,787,1.8588428379815012,1.6099781740034342,1.3565838967805113,1.2663740411790183,1.370238023901778,1.2713291031333158,0.3646759847522236,4.0
D3_ONSHORE,6,3,686,1.8386799676190566,1.6146517682371717,1.3565838967805113,1.2663740411790183,1.3553750505093503,1.2750196353787386,0.2915451895043732,4.0
D3_ONSHORE,6,4,631,1.7898882203985238,1.5980851258582838,1.3565838967805113,1.2663740411790183,1.319408423353944,1.2619376849911075,0.24881141045958796,4.0
D3_ONSHORE,6,5,576,1.6655544205392323,1.5654739110427085,1.3565838967805113,1.2663740411790183,1.2277562961582986,1.2361860399358964,0.2065972222222222,4.0
D3_ONSHORE,6,6,551,1.538231006042065,1.4412593647518972,1.3565838967805113,1.2663740411790183,1.1339003873572762,1.1380992644243224,0.20326678765880218,4.0
D3_ONSHORE,6,7,527,1.5565657595960631,1.43073828757192,1.3565838967805113,1.2663740411790183,1.1474157722866645,1.1297912315384129,0.2049335863377609,4.0
D3_ONSHORE,6,8,500,1.4555412051879535,1.3743754529013457,1.3565838967805113,1.2663740411790183,1.0729459553827012,1.085283974726595,0.182,4.0
D3_ONSHORE,6,9,486,1.5276749460342474,1.4322338621703468,1.3565838967805113,1.2663740411790183,1.1261190330061965,1.1309722211590107,0.1831275720164609,4.0
D3_ONSHORE,6,10,474,1.6101266428163883,1.4833375648827312,1.3565838967805113,1.2663740411790183,1.186897947585544,1.1713265722832693,0.1751054852320675,4.0
D3_ONSHORE,6,11,457,1.5825478722782815,1.4266938227556714,1.3565838967805113,1.2663740411790183,1.166568375191564,1.126597495181907,0.175054704595186,4.0
D3_ONSHORE,6,12,439,1.5709130000603286,1.457357601530128,1.3565838967805113,1.2663740411790183,1.1579917790477021,1.1508113354671266,0.17084282460136674,4.0
HKN,1,1,234,1.0458729004671763,1.0451424406723775,0.8570677162786691,0.8448731457027978,1.2202920266420567,1.2370406681620683,0.21367521367521367,1.0
HKN,1,2,184,0.8965983632597152,0.8492340205544824,0.8570677162786691,0.8448731457027978,1.0461231314985069,1.00516157351416,0.10869565217391304,1.0
HKN,1,3,164,0.8807526991574711,0.8505707648524014,0.8570677162786691,0.8448731457027978,1.0276349026208111,1.0067437569516593,0.06707317073170732,1.0
HKN,1,4,153,0.8369680146315867,0.841945223370405,0.8570677162786691,0.8448731457027978,0.9765482921998813,0.9965344829016227,0.06535947712418301,1.0
HKN,1,5,143,0.8611389392701232,0.8214643424013283,0.8570677162786691,0.8448731457027978,1.0047501765777984,0.9722931147468331,0.06993006993006994,1.0
HKN,1,6,133,0.7855598932383587,0.7841169130385882,0.8570677162786691,0.8448731457027978,0.9165668923445249,0.9280883373164024,0.06015037593984962,1.0
HKN,1,7,125,0.9591069554538741,0.9608085407799202,0.8570677162786691,0.8448731457027978,1.1190562160225246,1.1372222512536871,0.056,1.0
