model,rmse_pers_honest,rmse_model_honest,rmse_pers_naive,rmse_model_naive,skill_honest,skill_naive,excess_honest,excess_naive,n_train_honest,n_test_honest,n_train_naive,n_test_naive,test_start,test_end,test_target_std,bias,rmse_bias,record,record_len,record_days,missing_frac,condition,horizon,replicate,origin,nominal_gap_len,n_gaps_placed,mean_gap_len,achieved_missing_pct,intact_rp,rp_h_over_intact
XGBoost,0.9138730142790872,1.0930010002543435,0.8629219827849776,0.9086549850403334,-19.600971160808633,-5.299784125067486,0.17912798597525637,0.045733002255355815,2233,835,2782,953,2024-01-09 02:40:00,2024-01-15 23:20:00,2.8611209174290457,14.301187035741147,-0.13339498371990055,HKWA,4007,27.8,0.05,MEDIUM,1,18,3,18,11,18.2,4.991,0.6229,1.467
XGBoost,1.0278403701599836,1.0438112336861054,0.9592190475584345,0.975782816170473,-1.5538272274357112,-1.726797299761662,0.01597086352612176,0.016563768612038565,2575,588,3000,734,2024-01-10 12:00:00,2024-01-15 23:20:00,2.678595350984309,-0.17297007232595085,0.0005929050859168061,HKWA,4007,27.8,0.05,MEDIUM,1,19,4,18,11,18.2,4.991,0.6229,1.65
XGBoost,0.5843213734578556,0.7488315888490129,0.6017808045344548,0.7218162301875609,-28.154064332377637,-19.94670231230904,0.1645102153911573,0.1200354256531061,2028,738,2272,929,2024-01-04 22:30:00,2024-01-11 21:20:00,2.709237105561393,8.207362020068597,-0.04447478973805119,HKWA,4007,27.8,0.05,MEDIUM,1,20,0,18,11,18.2,4.991,0.6229,0.938
XGBoost,0.5134782903046835,0.5906769135389885,0.5884486684034334,0.6503771562650289,-15.03444735482342,-10.524025490552757,0.07719862323430504,0.06192848786159555,2228,661,2472,911,2024-01-06 07:50:00,2024-01-13 06:40:00,2.6890572493607205,4.510421864270663,-0.015270135372709492,HKWA,4007,27.8,0.05,MEDIUM,1,21,1,18,11,18.2,4.991,0.6229,0.824
XGBoost,0.6063253121311879,0.6532153056937693,0.6467417867696194,0.6720067599386973,-7.733471228137678,-3.9065008146872415,0.04688999356258139,0.025264973169077942,2161,794,2600,947,2024-01-07 17:10:00,2024-01-14 16:00:00,2.730472051188239,3.8269704134504368,-0.021625020393503447,HKWA,4007,27.8,0.05,MEDIUM,1,22,2,18,11,18.2,4.991,0.6229,0.973
XGBoost,0.850168162693887,0.8729759150814056,0.850168162693887,0.865436306355339,-2.6827342387474085,-1.7958968979822298,0.022807752387518643,0.015268143661452016,2129,988,2746,988,2024-01-09 02:40:00,2024-01-15 23:20:00,2.8357643413704796,0.8868373407651786,-0.007539608726066627,HKWA,4007,27.8,0.05,MEDIUM,1,23,3,18,11,18.2,4.991,0.6229,1.365
XGBoost,0.9668602932712386,0.9950932716102305,0.9487117259113352,0.9763968896917044,-2.9200680321114003,-2.9181850528699593,0.028232978338991965,0.027685163780369115,2385,704,2965,769,2024-01-10 12:00:00,2024-01-15 23:20:00,3.0488117546402167,0.0018829792414409852,-0.00054781455862285,HKWA,4007,27.8,0.05,MEDIUM,1,24,4,18,11,18.2,4.991,0.6229,1.552
XGBoost,0.58266968886432,0.8396428652633555,0.5892940969502596,0.859298791864731,-44.102719140908334,-45.818326759390835,0.2569731763990355,0.27000469491447143,1835,772,2217,948,2024-01-04 22:30:00,2024-01-11 21:20:00,2.6955812701250967,-1.715607618482501,0.013031518515435936,HKWA,4007,27.8,0.05,MEDIUM,1,25,0,18,11,18.2,4.991,0.6229,0.935
XGBoost,0.5068328765510421,0.573802684793385,0.6012025243366974,0.6542108711460279,-13.213390713338713,-8.817053266337215,0.06696980824234289,0.05300834680933053,2104,749,2417,930,2024-01-06 07:50:00,2024-01-13 06:40:00,2.57221336863958,4.396337447001498,-0.013961461433012357,HKWA,4007,27.8,0.05,MEDIUM,1,26,1,18,11,18.2,4.991,0.6229,0.814
XGBoost,0.5676373937056862,0.6213347429973997,0.6296990992922089,0.68228433727186,-9.459797731288111,-8.350851706594087,0.053697349291713437,0.05258523797965109,2197,764,2600,947,2024-01-07 17:10:00,2024-01-14 16:00:00,2.8088711184058797,1.1089460246940241,-0.0011121113120623471,HKWA,4007,27.8,0.05,MEDIUM,1,27,2,18,11,18.2,4.991,0.6229,0.911
